Reference, Value, Footprint, Datasheet
"R312","10k","bibliotecas:HW_Resistor",""
"Q304","BC847","HW_Footprints:HW_TO92-213",""
"BT701","CR2032","bibliotecas:HW_CR2032H",""
"C701","10nF","bibliotecas:HW_CAPACITOR",""
"X701","32.768 KHz","bibliotecas:Crystal_Round_Horizontal_2mm",""
"R407","1k","bibliotecas:HW_Resistor",""
"R408","1k","bibliotecas:HW_Resistor",""
"R406","1k","bibliotecas:HW_Resistor",""
"R201","10k","bibliotecas:HW_Resistor",""
"R304","1k","bibliotecas:HW_Resistor",""
"R303","1k","bibliotecas:HW_Resistor",""
"R302","1k","bibliotecas:HW_Resistor",""
"R301","1k","bibliotecas:HW_Resistor",""
"U601","74HC595","bibliotecas:HW_DIP-16__300_ELL",""
"R311","10k","bibliotecas:HW_Resistor",""
"Q303","BC847","HW_Footprints:HW_TO92-213",""
"R310","10k","bibliotecas:HW_Resistor",""
"Q302","BC847","HW_Footprints:HW_TO92-213",""
"R309","10k","bibliotecas:HW_Resistor",""
"Q301","BC847","HW_Footprints:HW_TO92-213",""
"R308","1k","bibliotecas:HW_Resistor",""
"R307","1k","bibliotecas:HW_Resistor",""
"R306","1k","bibliotecas:HW_Resistor",""
"R305","1k","bibliotecas:HW_Resistor",""
"BZ201","BUZZER","bibliotecas:HW_Buzzer",""
"SW103","BTN-01","bibliotecas:HW_Switch_tactil_adaptada",""
"SW105","BTN-01","bibliotecas:HW_Switch_tactil_adaptada",""
"SW107","BTN-01","bibliotecas:HW_Switch_tactil_adaptada",""
"SW109","BTN-01","bibliotecas:HW_Switch_tactil_adaptada",""
"R202","10k","bibliotecas:HW_Resistor",""
"SW101","BTN-01","bibliotecas:HW_Switch_tactil_adaptada",""
"U701","DS1307Z","bibliotecas:DIP-8_W7.62mm_LongPads",""
"LDR201","LDR","HW_Footprints:HW_LDR",""
"U301","KW4-361","bibliotecas:HW_Disp_7seg_4dig",""
"U401","DISPLAY_JHD162A","bibliotecas:HW_LCD",""
"SHIELD801","ARDUINO_SHIELD","bibliotecas:ARDUINO_SHIELD_2",""
"SW104","BTN-01","bibliotecas:HW_Switch_tactil_adaptada",""
"SW106","BTN-01","bibliotecas:HW_Switch_tactil_adaptada",""
"SW108","BTN-01","bibliotecas:HW_Switch_tactil_adaptada",""
"SW110","BTN-01","bibliotecas:HW_Switch_tactil_adaptada",""
"SW102","BTN-01","bibliotecas:HW_Switch_tactil_adaptada",""
"R401","1k","bibliotecas:HW_Resistor",""
"D101","DIODE","Discret:D5",""
"D103","DIODE","Discret:D5",""
"D105","DIODE","Discret:D5",""
"D107","DIODE","Discret:D5",""
"D109","DIODE","Discret:D5",""
"R501","1k","bibliotecas:HW_Resistor",""
"R502","1k","bibliotecas:HW_Resistor",""
"R503","1k","bibliotecas:HW_Resistor",""
"RGB501","ASMT-YTC2-0AA02","bibliotecas:LED-5MM",""
"Q201","BC847","HW_Footprints:HW_TO92-213",""
"Q101","BC847","HW_Footprints:HW_TO92-213",""
"Q102","BC847","HW_Footprints:HW_TO92-213",""
"R102","10k","bibliotecas:HW_Resistor",""
"R701","10k","bibliotecas:HW_Resistor",""
"R702","10k","bibliotecas:HW_Resistor",""
"R101","10k","bibliotecas:HW_Resistor",""
"R103","1k","bibliotecas:HW_Resistor",""
"U201","LM35","bibliotecas:TO-92_Molded_Narrow_Reverse",""
"D102","DIODE","Discret:D5",""
"D104","DIODE","Discret:D5",""
"D106","DIODE","Discret:D5",""
"D108","DIODE","Discret:D5",""
"D110","DIODE","Discret:D5",""
"R601","0k","bibliotecas:Resistor_Horizontal_RM15mm",""
"R602","0k","bibliotecas:Resistor_Horizontal_RM15mm",""
"R105","1k","bibliotecas:HW_Resistor",""
"R106","1k","bibliotecas:HW_Resistor",""
"R104","1k","bibliotecas:HW_Resistor",""
"P101","EXT_I2C","bibliotecas:EXT_I2C",""
"RV401","POT_DUPLO","bibliotecas:HW_Potenciometro_2_Duplo",""
"RV201","POT_DUPLO","bibliotecas:HW_Potenciometro_2_Duplo",""
